Organization Name,Organization Name URL,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Company Type,Website,Number of Sub-Orgs,Investor Type,Investment Stage,Number of Exits (IPO),Number of Exits,Number of Diversity Investments,Number of Investments,Number of Lead Investments,Number of Portfolio Organizations,Primary Industry,Primary Industry URL,Industry Groups,Founders,Number of Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Lead Investors,Number of Lead Investors,Number of Investors
Fincantieri,https://www.crunchbase.com/organization/fincantieri,,"Construction, Industrial, Machinery Manufacturing, Manufacturing, Marine Technology, Shipping","Trieste, Friuli-Venezia Giulia, Italy","Fincantieri is a shipbuilding complex involved in the construction of cruise ships, ship repairs and production of systems and components.","20,330","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,1959-12-01,month,2014-07-03,day,For Profit,https://www.fincantieri.com/en,,,,,,,3,,2,,,"Manufacturing, Real Estate, Science and Engineering, Transportation",,,10001+,1,IPO,2023-09-26,800000000,EUR,845531892,Post-IPO Debt,,,,,,,,800000000,EUR,845531892,"Deutsche Bank, Intesa Sanpaolo, Banca Monte dei Paschi di Siena, Banco BPM, CaixaBank",,,9
Mews Partners,https://www.crunchbase.com/organization/mews-partners,,"Consulting, Management Consulting, Product Management","Toulouse, Midi-Pyrenees, France",Mews Partners is a management consulting firm.,"21,315","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,1992-01-01,year,,,For Profit,https://www.mews-partners.com ,,,,,,,,,,,,"Other, Professional Services",,,101-250,1,Private Equity,2026-04-07,20000000,EUR,23069115,Private Equity,20000000,EUR,23069115,Private Equity,20000000,EUR,23069115,20000000,EUR,23069115,Azulis Capital,Azulis Capital,1,1
Hensoldt,https://www.crunchbase.com/organization/hensoldt,,"Electronics, Security, Sensor","Taufkirchen, Bayern, Germany",Hensoldt is a globally leading supplier of premium sensors for security and surveillance missions.,"21,535","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,2017-02-28,day,2020-09-25,day,For Profit,https://www.hensoldt.net/,,,,,,,1,,1,,,"Consumer Electronics, Hardware, Privacy and Security",Moritz Carl Hensoldt,1,5001-10000,3,IPO,2023-12-07,240000000,EUR,258955267,Post-IPO Equity,240000000,EUR,258955267,Post-IPO Equity,240000000,EUR,258955267,846000000,EUR,992042544,"Idinvest Partners, Leonardo Company","Idinvest Partners, Leonardo Company",2,2
W•SENSE,https://www.crunchbase.com/organization/w-sense,,"Internet of Things, Telecommunications, Wireless","Roma, Lazio, Italy",W•SENSE is a telecommunications company that specializes in underwater monitoring and communication systems based on IoUT solutions.,"21,846","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,2017-01-01,year,,,For Profit,https://wsense.it/,,,,,,,,,,,,"Hardware, Internet Services, Mobile",Chiara Petrioli,1,51-100,6,Early Stage Venture,2025-10-22,10000000,EUR,11607149,Series B,10000000,EUR,11607149,Series B,28700000,EUR,32067678,28700000,EUR,32067678,"CDP Venture Capital, Indico Capital Partners, Swen Capital Partners, Fincantieri, Axon Partners Group","28DIGITAL, Indico Capital Partners, Katapult, SIMEST, Swen Capital Partners",5,13
Airbus,https://www.crunchbase.com/organization/airbus-group,,"Aerospace, Industrial, Manufacturing, Product Design, Product Research, Remote Sensing","Leiden, Zuid-Holland, The Netherlands",Airbus is a manufacturer of aircraft products.,"23,494","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,1970-12-18,day,1999-06-11,day,For Profit,http://www.airbus.com,13,Corporate Venture Capital,"Early Stage Venture, Late Stage Venture, Seed",1,4,,9,5,8,,,"Data and Analytics, Design, Hardware, Manufacturing, Science and Engineering","Bernard Lathiere, Felix Kracht, Franz Josef Strauss, Henri Ziegler, Roger Beteille",5,10001+,,IPO,,,,,,,,,,,,,,,,,,,
United Aircraft,https://www.crunchbase.com/organization/united-aircraft-68e4,,"Autonomous Vehicles, Drone Management, Drones, Electronics, Manufacturing","Shenzhen, Guangdong, China","United Aircraft specializes in the research, development, manufacturing, and service of drones and other equipment.","25,026",Asia-Pacific (APAC),Active,2006-01-01,year,,,For Profit,https://www.uatair.com,,,,,,,,,,,,"Consumer Electronics, Consumer Goods, Hardware, Manufacturing, Software, Transportation",Gangyin Tian,1,501-1000,2,Late Stage Venture,2023-06-19,1200000000,CNY,167562661,Series D,1200000000,CNY,167562661,Series D,3200000000,CNY,458619927,3200000000,CNY,458619927,"Cornerstone Capital Bank, Longjiang Fund, Jinniu City Investment, Keli Capital, Harbin Venture Capital","Chengdu Heavy Industry Qingyue Fund, Longjiang Fund",2,15
NanoAvionics,https://www.crunchbase.com/organization/nanoavionics,,"Aerospace, Communication Hardware, Consumer Electronics, Electronics, Hardware, Industrial Engineering, Internet of Things, Manufacturing, Satellite Communication","Columbia, Illinois, United States",NanoAvionics is a smallsat bus manufacturer and mission integrator that offers end-to-end small satellite solutions.,"27,395","Great Lakes, Midwestern US",Active,2014-01-01,year,2022-09-08,day,For Profit,https://nanoavionics.com/,,,,,,,,,,,,"Consumer Electronics, Hardware, Internet Services, Manufacturing, Science and Engineering","Laurynas Mačiulis, Linas Sargautis, Vytenis J. Buzas",3,251-500,5,M&A,2019-06-06,10000000,EUR,11275661,Grant,200000,EUR,227111,Seed,200000,EUR,227111,14625655,EUR,16450430,"European Innovation Council, European Space Agency, Practica Capital, EISMEA, Horizon 2020","EISMEA, Practica Capital",2,6
ITP AERO,https://www.crunchbase.com/organization/itp-aero,,"Aerospace, Manufacturing, Sustainability","Querétaro, Queretaro de Arteaga, Mexico",ITP AERO is an aviation industry which is into sells products and services to the aeronautical and industrial engines market.,"31,154",Latin America,Active,1989-01-01,year,2021-08-05,day,For Profit,https://www.itpaero.com/es/,1,,,,,,,,,,,"Manufacturing, Science and Engineering, Sustainability",,,5001-10000,2,M&A,2025-05-29,65000000,EUR,73947668,Debt Financing,,,,,,,,240000000,EUR,266901437,"Indra, Instituto de Credito","Indra, Instituto de Credito",2,2
Valneva,https://www.crunchbase.com/organization/valneva,,"Biotechnology, Health Care, Medical, Therapeutics","Saint-herblain, Pays de la Loire, France",Valneva focuses on the development and commercialization of prophylactic vaccines for infectious diseases.,"31,759","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,2013-01-01,year,2007-06-29,day,For Profit,http://www.valneva.com,,,,,,,,,,,,"Biotechnology, Health Care, Science and Engineering","Franck Grimaud, Thomas Lingelbach",2,501-1000,17,IPO,2025-10-06,215000000,USD,215000000,Post-IPO Debt,61180000,EUR,67833293,Post-IPO Equity,561712002,USD,561712002,1069073529,USD,1069073529,"Bpifrance, Pfizer, OrbiMed, Deerfield, Scottish Enterprise","Coalition for Epidemic Preparedness Innovations, Deerfield, Groupe CDC, Horizon Europe, OrbiMed, Pfizer, Pharmakon Advisors, Polar Capital, Scottish Enterprise",9,11
Gyala,https://www.crunchbase.com/organization/gyala,,"Cyber Security, Information Technology, Software","Rome, Lazio, Italy",Gyala primarily offers cybersecurity solutions.,"32,098","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,2016-01-01,year,,,For Profit,https://gyala.com/,,,,,,,,,,,,"Information Technology, Privacy and Security, Software",,,11-50,2,,2026-03-02,4000000,EUR,4714190,Venture - Series Unknown,4000000,EUR,4714190,Venture - Series Unknown,9000000,EUR,9816965,9000000,EUR,9816965,"CDP Venture Capital, Ventive Group, Italian Angels for Growth, Deep Ocean Capital, Azimut Libera Impresa","CDP Venture Capital, Deep Ocean Capital",2,6
