iShares Global Tech ETF
Fund Holdings as of,"Mar 27, 2026"
Inception Date,"Nov 12, 2001"
Shares Outstanding,"62,950,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","13,062,983.49","0.21","13,062,983.49","13,062,983.00","1.00","United States","-","USD","1.00","USD","-"
"6702","FUJITSU LTD","Information Technology","Equity","12,948,161.98","0.21","12,948,161.98","634,900.00","20.39","Japan","Tokyo Stock Exchange","USD","160.15","JPY","-"
"ASM","ASM INTERNATIONAL NV","Information Technology","Equity","12,667,700.56","0.21","12,667,700.56","16,901.00","749.52","Netherlands","Euronext Amsterdam","USD","0.87","EUR","-"
"CSU","CONSTELLATION SOFTWARE INC","Information Technology","Equity","12,339,907.20","0.20","12,339,907.20","7,262.00","1,699.24","Canada","Toronto Stock Exchange","USD","1.39","CAD","-"
"6701","NEC CORP","Information Technology","Equity","12,238,209.12","0.20","12,238,209.12","491,200.00","24.91","Japan","Tokyo Stock Exchange","USD","160.15","JPY","-"
"MCHP","MICROCHIP TECHNOLOGY INC","Information Technology","Equity","12,228,260.00","0.20","12,228,260.00","197,230.00","62.00","United States","NASDAQ","USD","1.00","USD","-"
"ERIC B","ERICSSON B","Information Technology","Equity","11,942,825.48","0.19","11,942,825.48","1,065,362.00","11.21","Sweden","Nasdaq Omx Nordic","USD","9.46","SEK","Jan 01, 1998"
"CLS","CELESTICA INC","Information Technology","Equity","11,725,593.91","0.19","11,725,593.91","41,881.00","279.97","Canada","Toronto Stock Exchange","USD","1.39","CAD","-"
"HPE","HEWLETT PACKARD ENTERPRISE","Information Technology","Equity","11,594,525.04","0.19","11,594,525.04","484,316.00","23.94","United States","NYSE","USD","1.00","USD","-"
"CTSH","COGNIZANT TECHNOLOGY SOLUTIONS COR","Information Technology","Equity","10,411,416.84","0.17","10,411,416.84","174,308.00","59.73","United States","NASDAQ","USD","1.00","USD","-"
