iShares Global Comm Services ETF
Fund Holdings as of,"Mar 27, 2026"
Inception Date,"Nov 12, 2001"
Shares Outstanding,"5,150,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"PSKY","PARAMOUNT SKYDANCE CORP CLASS B","Communication","Equity","455,998.83","0.08","455,998.83","51,877.00","8.79","United States","NASDAQ","USD","1.00","USD","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","442,704.74","0.08","442,704.74","442,705.00","1.00","United States","-","USD","1.00","USD","-"
"CHF","CHF CASH","Cash and/or Derivatives","Cash","178,888.92","0.03","178,888.92","142,574.00","125.47","Switzerland","-","USD","0.80","CHF","-"
"AUD","AUD CASH","Cash and/or Derivatives","Cash","158,767.95","0.03","158,767.95","230,483.00","68.89","Australia","-","USD","1.45","AUD","-"
"CAD","CAD CASH","Cash and/or Derivatives","Cash","149,258.86","0.03","149,258.86","207,201.00","72.04","Canada","-","USD","1.39","CAD","-"
"HKD","HKD CASH","Cash and/or Derivatives","Cash","86,463.32","0.02","86,463.32","677,215.00","12.77","Hong Kong","-","USD","7.83","HKD","-"
"GBP","GBP CASH","Cash and/or Derivatives","Cash","73,331.77","0.01","73,331.77","55,176.00","132.90","United Kingdom","-","USD","0.75","GBP","-"
"SGAFT","CASH COLLATERAL USD SGAFT","Cash and/or Derivatives","Cash Collateral and Margins","70,000.00","0.01","70,000.00","70,000.00","100.00","United States","-","USD","1.00","USD","Sep 01, 2016"
"KRW","KRW CASH","Cash and/or Derivatives","Cash","58,061.90","0.01","58,061.90","87,603,801.00","0.07","Korea (South)","-","USD","1,508.80","KRW","-"
"JPY","JPY CASH","Cash and/or Derivatives","Cash","41,307.17","0.01","41,307.17","6,615,137.00","0.62","Japan","-","USD","160.15","JPY","-"
"EUR","EUR CASH","Cash and/or Derivatives","Cash","40,055.90","0.01","40,055.90","34,769.00","115.20","European Union","-","USD","0.87","EUR","-"
"SEK","SEK CASH","Cash and/or Derivatives","Cash","29,078.30","0.01","29,078.30","274,957.00","10.58","Sweden","-","USD","9.46","SEK","-"
"NOK","NOK CASH","Cash and/or Derivatives","Cash","24,246.35","0.00","24,246.35","235,992.00","10.27","Norway","-","USD","9.73","NOK","-"
"TWD","TWD CASH","Cash and/or Derivatives","Cash","15,146.24","0.00","15,146.24","482,991.00","3.14","Taiwan","-","USD","31.89","TWD","-"
"MXN","MXN CASH","Cash and/or Derivatives","Cash","14,309.06","0.00","14,309.06","257,921.00","5.55","Mexico","-","USD","18.03","MXN","-"
